databaseID,temporalSubjectText,temporalSubjectURI
3555169,"Civil War, 1861-1865",
3555179,"Civil War, 1861-1865",
3555186,"Civil War, 1861-1865",
3555197,"Civil War, 1861-1865",
3555203,"Civil War, 1861-1865",
3555210,"Civil War, 1861-1865",
3555217,"Civil War, 1861-1865",
3555224,"Civil War, 1861-1865",
3555232,"Civil War, 1861-1865",
3555239,"Civil War, 1861-1865",
3555246,"Civil War, 1861-1865",
3555251,"Civil War, 1861-1865",
3555258,"Civil War, 1861-1865",
3555266,"Civil War, 1861-1865",
3555274,"Civil War, 1861-1865",
3555280,"Civil War, 1861-1865",
3555286,"Civil War, 1861-1865",
3555295,"Civil War, 1861-1865",
3555300,"Civil War, 1861-1865",
3555309,"Civil War, 1861-1865",
3555316,"Civil War, 1861-1865",
3555324,"Civil War, 1861-1865",
3555332,"Civil War, 1861-1865",
3555337,"Civil War, 1861-1865",
3555347,"Civil War, 1861-1865",
3555351,"Civil War, 1861-1865",
3555358,"Civil War, 1861-1865",
3555367,"Civil War, 1861-1865",
3555372,"Civil War, 1861-1865",
3555380,"Civil War, 1861-1865",
3555389,"Civil War, 1861-1865",
3555396,"Civil War, 1861-1865",
3555403,"Civil War, 1861-1865",
3555408,"Civil War, 1861-1865",
3555416,"Civil War, 1861-1865",
3555425,"Civil War, 1861-1865",
3555430,"Civil War, 1861-1865",
3555438,"Civil War, 1861-1865",
3555446,"Civil War, 1861-1865",
3555454,"Civil War, 1861-1865",
3555461,"Civil War, 1861-1865",
3555469,"Civil War, 1861-1865",
3555484,"Civil War, 1861-1865",
3555484,"1860-1869",
3555493,"Civil War, 1861-1865",
3555499,"Civil War, 1861-1865",
3555507,"Civil War, 1861-1865",
3555515,"Civil War, 1861-1865",
3555521,"Civil War, 1861-1865",
3555529,"Civil War, 1861-1865",
3555536,"Civil War, 1861-1865",
3555544,"Civil War, 1861-1865",
3555553,"Civil War, 1861-1865",
3555553,"1860-1869",
3555562,"Civil War, 1861-1865",
3555562,"1860-1869",
3555567,"Civil War, 1861-1865",
3555567,"1860-1869",
3555577,"Civil War, 1861-1865",
3555584,"Civil War, 1861-1865",
3555584,"1860-1869",
3555592,"Civil War, 1861-1865",
3555600,"Civil War, 1861-1865",
3555610,"Civil War, 1861-1865",
3555619,"Civil War, 1861-1865",
3555619,"1860-1869",
3555626,"Civil War, 1861-1865",
3555632,"Civil War, 1861-1865",
3555642,"Civil War, 1861-1865",
3555650,"Civil War, 1861-1865",
3555650,"1860-1869",
3555650,"Siege, 1864-1865",
3555661,"Civil War, 1861-1865",
3555661,"1860-1869",
3555668,"Civil War, 1861-1865",
3555668,"1860-1869",
3555678,"Civil War, 1861-1865",
3555685,"Civil War, 1861-1865",
3555689,"Civil War, 1861-1865",
3555697,"Civil War, 1861-1865",
3555705,"Civil War, 1861-1865",
3555712,"Civil War, 1861-1865",
3555715,"Civil War, 1861-1865",
3555724,"Civil War, 1861-1865",
3555730,"Civil War, 1861-1865",
3555736,"Civil War, 1861-1865",
3555742,"Civil War, 1861-1865",
3555750,"Civil War, 1861-1865",
3555755,"Civil War, 1861-1865",
3555765,"Civil War, 1861-1865",
3555772,"Civil War, 1861-1865",
3555777,"Civil War, 1861-1865",
3555785,"Civil War, 1861-1865",
3555793,"Civil War, 1861-1865",
3555800,"Civil War, 1861-1865",
3555807,"Civil War, 1861-1865",
3555816,"Civil War, 1861-1865",
3555823,"Civil War, 1861-1865",
3555833,"Civil War, 1861-1865",
3555841,"Civil War, 1861-1865",
3555851,"Civil War, 1861-1865",
3555857,"Civil War, 1861-1865",
3555863,"Civil War, 1861-1865",
3555869,"Civil War, 1861-1865",
3555879,"Civil War, 1861-1865",
3555885,"Civil War, 1861-1865",
3555891,"Civil War, 1861-1865",
3555902,"Civil War, 1861-1865",
3555909,"Civil War, 1861-1865",
3555919,"Civil War, 1861-1865",
3555926,"Civil War, 1861-1865",
3555931,"Civil War, 1861-1865",
3555941,"Civil War, 1861-1865",
3555947,"Civil War, 1861-1865",
3555955,"Civil War, 1861-1865",
3555963,"Civil War, 1861-1865",
3555972,"Civil War, 1861-1865",
3555979,"Civil War, 1861-1865",
